Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,CAPC2012X145N,78.600000,-53.400000,90.000000,top
C2,10uF,CAPC2012X145N,88.200000,-67.200000,0.000000,top
C8,2.2uF,CAPC2012X145N,84.400000,-61.600000,-90.000000,top
C9,100nF,CAPC2012X145N,84.400000,-66.430000,90.000000,top
C10,100nF,CAPC2012X145N,80.800000,-65.600000,0.000000,top
C11,100nF,CAPC2012X145N,88.200000,-62.800000,0.000000,top
D2,LED,CAPC2012X145N,77.600000,-69.030000,-90.000000,top
PIN1,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,74.000000,-52.560000,0.000000,top
R5,4.7k,RESC1608X50N,81.400000,-55.590000,-90.000000,top
R7,4.7k,RESC1608X50N,78.600000,-56.400000,180.000000,top
R8,4.7k,RESC1608X50N,77.600000,-65.390000,-90.000000,top
R9,1k,RESC1608X50N,81.800000,-69.200000,-90.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,87.600000,-55.400000,0.000000,top
U2,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,79.600000,-60.600000,0.000000,top